R_in_CGS,V_in_CGS,Bo,We,Coefficient of Restitution,Contact Time,Maximum Radius
0.02,22.081632653061227,0.0054444444444444445,0.1354440279513166,0.9365188080026954,2.760735452211186,0.5035085259875876
0.02,22.816326530612244,0.0054444444444444445,0.14460687676431114,0.9344579421526233,2.7499962756813288,0.54423746316196
0.02,23.551020408163268,0.0054444444444444445,0.15406960062936745,0.932278728638725,2.7331204268486955,0.5491897605695929
0.02,24.285714285714285,0.0054444444444444445,0.16383219954648523,0.9302153038057215,2.7177787460917564,0.5531594766664545
0.02,25.02040816326531,0.0054444444444444445,0.17389467351566482,0.928131119407616,2.700902897259123,0.556731942176707
0.02,25.755102040816325,0.0054444444444444445,0.1842570225369059,0.9259610786009339,2.687095384577878,0.5599909478836269
0.02,26.48979591836735,0.0054444444444444445,0.19491924661020874,0.9236969329922043,2.671753703820939,0.5630707969945834
0.02,27.224489795918366,0.0054444444444444445,0.20588134573557312,0.9213553551451569,2.659480359215388,0.5660234627694161
0.02,27.95918367346939,0.0054444444444444445,0.21714331991299926,0.9189565469992858,2.6456728465341426,0.5687204769862668
0.02,28.693877551020407,0.0054444444444444445,0.2287051691424869,0.9164879111517774,2.634933670004285,0.6028540584458977
0.02,29.42857142857143,0.0054444444444444445,0.2405668934240363,0.9139490019742472,2.625728661550122,0.6102237073937342
0.02,30.16326530612245,0.0054444444444444445,0.2527284927576473,0.9114252539098705,2.6149894850202644,0.6155454426160174
0.02,30.89795918367347,0.0054444444444444445,0.26518996714331994,0.908936987753366,2.605784476566101,0.6199330069436964
0.02,31.63265306122449,0.0054444444444444445,0.27795131658105426,0.9064888614194351,2.59351113196055,0.6239450200585368
0.02,32.36734693877551,0.0054444444444444445,0.2910125410708501,0.9040266790341236,2.5812377873549988,0.6275464106097028
0.02,33.102040816326536,0.0054444444444444445,0.3043736406127078,0.9015294902697917,2.5704986108251413,0.6308116522142144
0.02,33.83673469387755,0.0054444444444444445,0.3180346152066269,0.898998243659765,2.559759434295284,0.6342229635666988
0.02,34.57142857142857,0.0054444444444444445,0.3319954648526077,0.8964372436038724,2.5490202577654264,0.6370661046030193
0.02,35.30612244897959,0.0054444444444444445,0.34625618955065024,0.8938570851678297,2.539815249311263,0.639902232730883
0.02,36.04081632653062,0.0054444444444444445,0.36081678930075445,0.8912611206452741,2.5306102408571,0.642690060706972
0.02,36.775510204081634,0.0054444444444444445,0.3756772641029202,0.8888016123829896,2.5229394004786303,0.6740302980586506
0.02,37.51020408163265,0.0054444444444444445,0.39083761395714745,0.8863800043505281,2.5152685601001608,0.6809789524813088
0.02,38.244897959183675,0.0054444444444444445,0.40629783886343657,0.8838965234770099,2.507597719721691,0.6864894135403017
0.02,38.9795918367347,0.0054444444444444445,0.4220579388217873,0.8813687966840665,2.4999268793432217,0.6912948021388787
