R_in_CGS,V_in_CGS,Bo,We,Oh,Alpha Coefficient of restitution,Center Coefficient of restitution,Contact time ND,Contact time CGS,Min north pole height ND,Min north pole height CGS,Time min north pole height ND,Time min north pole height CGS,clea radius ND,Max radius CGS,Time of max radius ND,Time of max radius CGS,Max contact radius ND,Max contact radius CGS,Time max contact radius ND,Time max contact radius CGS,Max radial projection ND,Max radial projection CGS,Time max radial projection ND,Time max radial projection CGS,Min side height ND,Min side height CGS,Time min side height ND,Time min side height CGS
nothing,nothing,0.0,0.00014,0.0,0.9577124395642496,0.9577124395642495,4.597134638816792,4.597134638816792,1.980697441336607,1.980697441336607,1.919244262693078,1.919244262693078,1.0023808271360213,1.0023808271360213,4.596367554778945,4.596367554778945,0.1740905121036168,0.1740905121036168,4.300273116170022,4.300273116170022,1.001286527203659,1.001286527203659,1.715199908625788,1.715199908625788,1.9832484860904276,1.9832484860904276,2.213804533226308,2.213804533226308
nothing,nothing,0.0,0.0001,0.0,0.9577124538907823,0.9577124538907824,4.652364689541773,4.652364689541773,1.9834134799934375,1.9834134799934375,1.9468592880555682,1.9468592880555682,1.0020121628805607,1.0020121628805607,4.623982580141436,4.623982580141436,0.17406860638774624,0.17406860638774624,4.326353973456818,4.326353973456818,1.0009708793607672,1.0009708793607672,1.7428149339882786,1.7428149339882786,1.9855695033876097,1.9855695033876097,2.2414195585887984,2.2414195585887984
nothing,nothing,0.0,0.00018,0.0,0.957712449324749,0.957712449324749,4.560314605000139,4.560314605000139,1.9783489260855434,1.9783489260855434,1.900834245784751,1.900834245784751,1.0026952906416418,1.0026952906416418,4.5610816890379855,4.5610816890379855,0.1741067171239311,0.1741067171239311,4.281863099261694,4.281863099261694,1.001559457520963,1.001559457520963,1.6983240597931553,1.6983240597931553,1.9812415294719785,1.9812415294719785,2.196928684393675,2.196928684393675
nothing,nothing,0.0,0.0002,0.0,0.9577124421589455,0.9577124421589455,4.546507092318894,4.546507092318894,1.9772730822879803,1.9772730822879803,1.8946975734819753,1.8946975734819753,1.0028364109307624,1.0028364109307624,4.547274176356741,4.547274176356741,0.174115796885537,0.174115796885537,4.2757264269589195,4.2757264269589195,1.001684490781575,1.001684490781575,1.6906532194146857,1.6906532194146857,1.9803221632624293,1.9803221632624293,2.1892578440152053,2.1892578440152053
nothing,nothing,0.0,0.00028,0.0,0.9577124498520426,0.9577124498520427,4.505084554275158,4.505084554275158,1.9734320390812432,1.9734320390812432,1.8747533884979546,1.8747533884979546,1.0033239757906327,1.0033239757906327,4.505851638313005,4.505851638313005,0.17414314580519455,0.17414314580519455,4.255782241974899,4.255782241974899,1.002130878130405,1.002130878130405,1.6722432025063587,1.6722432025063587,1.9770397483019062,1.9770397483019062,2.1708478271068787,2.1708478271068787
nothing,nothing,0.0,0.00035,0.0,0.957712445350044,0.9577124453500439,4.479003696988362,4.479003696988362,1.9705041195964448,1.9705041195964448,1.8640142119680971,1.8640142119680971,1.0036759503694292,1.0036759503694292,4.479770781026208,4.479770781026208,0.17416578812830638,0.17416578812830638,4.245043065445041,4.245043065445041,1.002471149171404,1.002471149171404,1.6599698579008075,1.6599698579008075,1.9745376711906235,1.9745376711906235,2.1601086505770213,2.1601086505770213
nothing,nothing,0.0,0.00045,0.0,0.964016588515474,0.9640165885154739,4.417636973960606,4.417636973960606,1.966790766088753,1.966790766088753,1.85327503543824,1.85327503543824,1.0038536095604216,1.0038536095604216,1.7612249508966054,1.7612249508966054,0.24682173238114224,0.24682173238114224,2.588141543695621,2.588141543695621,1.0029027043089571,1.0029027043089571,1.64923068137095,1.64923068137095,1.9713684524533601,1.9713684524533601,2.1432328017443885,2.1432328017443885
nothing,nothing,0.0,0.00057,0.0,0.9689255843295521,0.9689255843295522,4.363941091311318,4.363941091311318,1.962846949271314,1.962846949271314,1.8440700269840764,1.8440700269840764,1.004349409700238,1.004349409700238,1.7581566147452177,1.7581566147452177,0.24651486468084088,0.24651486468084088,2.726216670508073,2.726216670508073,1.0033620118349769,1.0033620118349769,1.6415598409924805,1.6415598409924805,1.9680856051400184,1.9680856051400184,2.1156177763818977,2.1156177763818977
nothing,nothing,0.0,0.0007,0.0,0.9696113629423033,0.9696113629423033,4.273425174845379,4.273425174845379,1.958962313029533,1.958962313029533,1.9361201115257107,1.9361201115257107,1.0049191651718679,1.0049191651718679,1.7535541105181358,1.7535541105181358,0.2463838924683179,0.2463838924683179,2.8412792761851158,2.8412792761851158,1.0037901517380172,1.0037901517380172,1.7105974043987064,1.7105974043987064,1.9650378406154503,1.9650378406154503,2.0880027510194075,2.0880027510194075
nothing,nothing,0.0,0.0009,0.0,0.9683246434849857,0.9683246434849857,4.166033409546804,4.166033409546804,1.9537136629377865,1.9537136629377865,1.9683376411152829,1.9683376411152829,1.0058769241637664,1.0058769241637664,1.735144093609809,1.735144093609809,0.2464707838783282,0.2464707838783282,1.0662468126072655,1.0662468126072655,1.0047000296898052,1.0047000296898052,1.721336580928564,1.721336580928564,1.9610015804925922,1.9610015804925922,2.0527168852784476,2.0527168852784476
